Date,PM2.5,AQI
2024-11-01,78.4,161
2024-11-02,62.0,107
2024-11-03,54.3,91
2024-11-04,52.7,88
2024-11-05,37.7,112
2024-11-06,27.3,132
2024-11-07,25.2,103
2024-11-08,23.8,78
2024-11-09,35.0,84
2024-11-10,33.3,88
2024-11-11,34.6,103
2024-11-12,26.8,100
2024-11-13,22.3,61
2024-11-14,21.9,55
2024-11-15,22.5,58
2024-11-16,23.3,65
2024-11-17,27.8,102
2024-11-18,27.5,112
2024-11-19,30.5,112
2024-11-20,29.4,113
2024-11-21,26.3,106
2024-11-22,32.4,106
2024-11-23,32.3,124
2024-11-24,30.4,100
2024-11-25,30.7,102
2024-11-26,29.7,116
2024-11-27,30.4,115
2024-11-28,27.5,110
2024-11-29,26.4,105
2024-11-30,25.2,82
2024-12-01,22.7,56
2024-12-02,22.0,52
2024-12-03,24.5,75
2024-12-04,23.0,73
2024-12-05,37.4,73
2024-12-06,42.9,78
2024-12-07,34.1,77
2024-12-08,28.9,71
2024-12-09,27.6,106
2024-12-10,28.2,99
2024-12-11,27.0,96
2024-12-12,25.0,81
2024-12-13,27.1,105
2024-12-14,27.8,109
2024-12-15,30.9,108
2024-12-16,33.6,124
2024-12-17,29.7,110
2024-12-18,25.4,80
2024-12-19,24.5,78
2024-12-20,28.3,83
2024-12-21,32.1,89
2024-12-22,28.6,100
2024-12-23,32.1,107
2024-12-24,37.6,101
2024-12-25,39.5,66
2024-12-26,27.3,60
2024-12-27,23.8,68
2024-12-28,28.8,89
2024-12-29,29.1,70
2024-12-30,26.9,85
2024-12-31,33.5,91
2025-01-01,32.5,102
2025-01-02,32.9,111
2025-01-03,30.2,106
2025-01-04,28.8,114
2025-01-05,32.2,105
2025-01-06,32.8,110
2025-01-07,32.1,109
2025-01-08,33.4,106
2025-01-09,33.5,117
2025-01-10,31.2,114
2025-01-11,28.0,101
2025-01-12,29.3,82
2025-01-13,27.1,75
2025-01-14,26.8,65
2025-01-15,27.2,71
2025-01-16,33.6,93
2025-01-17,32.8,103
2025-01-18,34.2,96
2025-01-19,25.6,84
2025-01-20,39.3,66
2025-01-21,40.2,67
2025-01-22,37.4,62
2025-01-23,31.9,72
2025-01-24,41.5,94
2025-01-25,40.8,104
2025-01-26,40.6,77
2025-01-27,40.8,100
2025-01-28,45.2,113
2025-01-29,37.7,112
2025-01-30,34.9,106
2025-01-31,32.3,84
